 slim_762457472 slim_762457505 slim_762457453 slim_762457458 slim_762457469 slim_762457494 slim_762457448 slim_762457445 slim_762457462 slim_762457464 slim_762457446 slim_762457497 slim_762457484 slim_762457457 slim_762457452 slim_762457500 slim_762457498 slim_762457479 slim_762457476 slim_762457477 slim_762457488 slim_762457456 slim_762457486 slim_762457460 slim_762457478 slim_762457449 slim_762457461 slim_762457495 slim_762457480 slim_762457481 slim_762457482 slim_762457466 slim_762457502 slim_762457470 slim_762457463 slim_762457508 slim_762457507 slim_762457454 slim_762457483 slim_762457475 slim_762457510 slim_762457471 slim_762457468 slim_762457459 slim_762457485 slim_762457489 slim_762457450 slim_762457496 slim_762457487 slim_762457506 slim_762457447 slim_762457467 slim_762457451 slim_762457473 slim_762457490 slim_762457492 slim_762457511 slim_762457455 slim_762457491 slim_762457504 slim_762457493 slim_762457465 slim_762457503 slim_762457509 slim_762457501 slim_762457499 slim_762457474
28 1.8e-06 1.9e-06 2.1e-06 1.5e-06 1.35e-06 1.7e-06 1.6e-06 1.75e-06 2e-06 2.6e-06 1.75e-06 2.15e-06 1.75e-06 2.2e-06 2.2e-06 2.35e-06 1.4e-06 1.35e-06 1.75e-06 1.45e-06 2e-06 1.4e-06 1.3e-06 1.9e-06 1.95e-06 1.95e-06 1.8e-06 1.8e-06 2.1e-06 2.05e-06 2.2e-06 1.55e-06 2e-06 1.6e-06 1.5e-06 1.75e-06 1.85e-06 1.55e-06 1.85e-06 2.3e-06 1.8e-06 1.65e-06 2.05e-06 1.65e-06 1.55e-06 1.55e-06 1.75e-06 2.05e-06 1.65e-06 1.8e-06 1.7e-06 1.85e-06 2.4e-06 1.5e-06 1.05e-06 1.9e-06 1.55e-06 1.55e-06 1.8e-06 1.6e-06 2.2e-06 1.85e-06 1.75e-06 1.9e-06 1.7e-06 1.6e-06 1.65e-06
29 1.15e-06 1.2e-06 1.6e-06 2.15e-06 1.9e-06 1.5e-06 1.4e-06 2.05e-06 2.2e-06 1.85e-06 1.8e-06 1.75e-06 1.9e-06 1.85e-06 1.2e-06 2.35e-06 2.2e-06 2.15e-06 1.8e-06 1.95e-06 2.2e-06 2.2e-06 2.15e-06 1.2e-06 1.5e-06 1.4e-06 1.3e-06 1.8e-06 2.05e-06 1.5e-06 1.7e-06 2.05e-06 1.3e-06 1.55e-06 2.05e-06 1.75e-06 9.5e-07 2e-06 1.8e-06 2.2e-06 2.1e-06 1.6e-06 1.5e-06 1.8e-06 1.6e-06 1.75e-06 1.9e-06 8.5e-07 2.25e-06 1.45e-06 1.35e-06 1.2e-06 1.65e-06 2.1e-06 1.95e-06 1.25e-06 1.55e-06 2.15e-06 1.15e-06 1.9e-06 1.25e-06 1.95e-06 1.2e-06 1.55e-06 1.55e-06 1.3e-06 1.6e-06
30 1.65e-06 1.3e-06 2.15e-06 2e-06 1.9e-06 1.3e-06 1.8e-06 1.75e-06 2e-06 1.55e-06 2.25e-06 2.45e-06 1.55e-06 1.05e-06 1.75e-06 1.7e-06 1.8e-06 1.8e-06 1.95e-06 1.75e-06 2.05e-06 1.85e-06 2.25e-06 1.7e-06 1.65e-06 2.25e-06 2e-06 1.45e-06 2.2e-06 1.7e-06 1.7e-06 2.25e-06 1.95e-06 2.2e-06 1.85e-06 2.1e-06 1.75e-06 2e-06 1.85e-06 2.5e-06 2e-06 2.2e-06 2.2e-06 1.6e-06 1.9e-06 2.4e-06 2.2e-06 2.15e-06 1.5e-06 1.55e-06 1.75e-06 1.7e-06 2.2e-06 2.15e-06 2.25e-06 1.7e-06 1.9e-06 2.15e-06 1.85e-06 1.8e-06 1.7e-06 2.25e-06 2.1e-06 1.85e-06 1.85e-06 2.1e-06 2e-06
31 1.8e-06 1.95e-06 1.65e-06 1.75e-06 1.85e-06 1.95e-06 1.5e-06 1.55e-06 2.2e-06 2.45e-06 1.45e-06 2e-06 2.3e-06 2.15e-06 2.1e-06 2.5e-06 2.25e-06 2.3e-06 1.2e-06 2e-06 2.55e-06 2.35e-06 1.7e-06 1.8e-06 1.7e-06 1.95e-06 1.8e-06 2.3e-06 1.55e-06 2.05e-06 2.25e-06 1.6e-06 2.2e-06 2.2e-06 1.7e-06 2.1e-06 1.9e-06 2.35e-06 1.95e-06 2.05e-06 1.45e-06 2.15e-06 1.4e-06 2e-06 1.55e-06 1.3e-06 2.2e-06 2e-06 2.3e-06 1.9e-06 1.6e-06 1.85e-06 2.5e-06 1.55e-06 8e-07 2e-06 2e-06 1.95e-06 1.7e-06 1.95e-06 2.2e-06 1.25e-06 1.75e-06 2.2e-06 1.75e-06 1.45e-06 1.7e-06
32 1.4e-06 1.55e-06 1.8e-06 2.15e-06 1.8e-06 1.6e-06 1.75e-06 2.1e-06 2.15e-06 2e-06 1.9e-06 1.85e-06 1.6e-06 1.9e-06 1.5e-06 2.35e-06 2.05e-06 2e-06 1.9e-06 1.9e-06 2.15e-06 2.05e-06 2.1e-06 1.45e-06 1.7e-06 1.5e-06 1.35e-06 1.75e-06 2e-06 1.3e-06 1.95e-06 2.2e-06 2.3e-06 1.55e-06 2.05e-06 1.75e-06 1.25e-06 2e-06 1.5e-06 2.2e-06 2.15e-06 1.7e-06 1.8e-06 1.75e-06 1.55e-06 1.95e-06 1.85e-06 1.25e-06 2.1e-06 1.45e-06 1.7e-06 1.45e-06 1.95e-06 2.1e-06 2.05e-06 1.5e-06 1.75e-06 2e-06 1.6e-06 1.8e-06 1.5e-06 2e-06 1.35e-06 1.7e-06 1.45e-06 1.55e-06 1.55e-06
33 1.5e-06 1.9e-06 2.1e-06 2e-06 1.55e-06 1.8e-06 2e-06 2e-06 2.05e-06 2.6e-06 1.95e-06 1.9e-06 1.9e-06 2.3e-06 1.8e-06 2.45e-06 1.65e-06 1.5e-06 1.9e-06 1.7e-06 2.05e-06 1.55e-06 1.8e-06 1.7e-06 2.2e-06 1.6e-06 1.55e-06 1.85e-06 1.6e-06 1.55e-06 2.2e-06 2.2e-06 1.55e-06 2.3e-06 1.95e-06 1.65e-06 1.45e-06 1.7e-06 1.95e-06 2.2e-06 2.25e-06 1.4e-06 1.8e-06 1.8e-06 1.65e-06 1.8e-06 1.5e-06 1.25e-06 1.8e-06 1.85e-06 1.95e-06 1.55e-06 2.1e-06 1.7e-06 2.05e-06 1.6e-06 1.6e-06 1.75e-06 1.8e-06 1.75e-06 1.8e-06 2.05e-06 1.4e-06 1.6e-06 2e-06 1.55e-06 1.75e-06
34 1.65e-06 1.65e-06 2.2e-06 1.4e-06 1.55e-06 1.6e-06 1.7e-06 1.45e-06 1.7e-06 2.5e-06 1.95e-06 2.1e-06 1.45e-06 1.95e-06 2.2e-06 2e-06 1.3e-06 1.35e-06 1.8e-06 1.45e-06 2.25e-06 1.4e-06 1.35e-06 1.7e-06 2e-06 2.05e-06 1.85e-06 1.5e-06 1.5e-06 2.05e-06 1.85e-06 1.7e-06 2.05e-06 1.95e-06 2.1e-06 1.55e-06 1.85e-06 1.55e-06 1.9e-06 2.3e-06 1.65e-06 1.9e-06 2.1e-06 1.35e-06 1.55e-06 1.65e-06 2.1e-06 2.15e-06 1.75e-06 1.75e-06 1.5e-06 1.7e-06 2.35e-06 1.8e-06 1.35e-06 1.75e-06 1.7e-06 1.75e-06 1.95e-06 1.25e-06 2.2e-06 1.8e-06 1.75e-06 1.65e-06 1.8e-06 1.55e-06 1.6e-06
35 1.5e-06 1.75e-06 2.05e-06 1.8e-06 1.6e-06 1.7e-06 1.95e-06 1.75e-06 1.8e-06 2.45e-06 1.95e-06 1.65e-06 1.6e-06 2.1e-06 1.9e-06 2.15e-06 1.5e-06 1.5e-06 1.9e-06 1.55e-06 2.2e-06 1.55e-06 1.7e-06 1.65e-06 2.05e-06 1.7e-06 1.6e-06 1.6e-06 1.75e-06 1.75e-06 2.1e-06 2.1e-06 1.75e-06 1.65e-06 1.55e-06 2.4e-06 1.55e-06 1.55e-06 1.8e-06 2.15e-06 2.05e-06 1.65e-06 1.95e-06 1.55e-06 1.5e-06 1.75e-06 1.8e-06 1.6e-06 1.9e-06 1.75e-06 1.8e-06 1.55e-06 2.15e-06 1.9e-06 1.9e-06 1.6e-06 1.7e-06 1.65e-06 1.9e-06 1.3e-06 1.9e-06 1.75e-06 1.35e-06 1.55e-06 1.85e-06 1.55e-06 1.45e-06
36 1.15e-06 1.3e-06 1.5e-06 1.95e-06 1.6e-06 1.4e-06 1.45e-06 1.85e-06 2e-06 1.8e-06 1.65e-06 1.65e-06 1.7e-06 1.75e-06 1.25e-06 2.2e-06 1.95e-06 1.9e-06 1.55e-06 1.8e-06 2.05e-06 1.95e-06 1.95e-06 1.2e-06 1.45e-06 1.35e-06 1e-06 1.6e-06 1.85e-06 9.5e-07 1.75e-06 1.9e-06 1.25e-06 1.45e-06 1.85e-06 1.55e-06 1.6e-06 1.75e-06 1.65e-06 2.05e-06 1.95e-06 1.5e-06 1.45e-06 1.5e-06 1.35e-06 1.6e-06 1.7e-06 9e-07 2.05e-06 1.2e-06 1.4e-06 1.2e-06 1.65e-06 1.9e-06 1.8e-06 1.25e-06 1.45e-06 1.95e-06 1.2e-06 1.7e-06 1.25e-06 1.8e-06 1.15e-06 1.45e-06 1.4e-06 1.25e-06 1.35e-06
37 2.05e-06 1.8e-06 2.4e-06 1.75e-06 1.15e-06 1.65e-06 1.95e-06 1.65e-06 1.9e-06 2.15e-06 2.45e-06 2.5e-06 1.25e-06 1.85e-06 2.15e-06 1.9e-06 8.5e-07 9.5e-07 2.05e-06 1.35e-06 1.75e-06 1e-06 1.5e-06 2e-06 1.95e-06 2.3e-06 1.85e-06 1.3e-06 1.55e-06 2e-06 2e-06 2.35e-06 2e-06 1.7e-06 1.55e-06 1.55e-06 1.75e-06 1.5e-06 1.9e-06 2.8e-06 2.25e-06 1.6e-06 2.45e-06 1.2e-06 1.75e-06 2e-06 1.85e-06 2.35e-06 1.5e-06 1.5e-06 1.9e-06 2.1e-06 2.05e-06 1.7e-06 2.15e-06 2.05e-06 1.25e-06 1.55e-06 2.05e-06 1.45e-06 2.05e-06 2.3e-06 2.1e-06 1.7e-06 1.75e-06 2.15e-06 1.75e-06
38 1.7e-06 1.65e-06 1.85e-06 2.1e-06 1.65e-06 1.7e-06 1.8e-06 1.9e-06 1.95e-06 1.7e-06 1.85e-06 1.8e-06 1.45e-06 1.5e-06 1.7e-06 2.15e-06 1.85e-06 1.9e-06 1.8e-06 1.7e-06 1.95e-06 1.95e-06 1.85e-06 1.65e-06 1.6e-06 1.65e-06 1.6e-06 1.8e-06 1.85e-06 1.8e-06 1.85e-06 1.95e-06 1.5e-06 1.95e-06 1.9e-06 1.8e-06 1.65e-06 1.9e-06 1.9e-06 1.9e-06 1.85e-06 1.9e-06 2e-06 1.7e-06 1.35e-06 2.2e-06 1.85e-06 1.95e-06 1.8e-06 1.5e-06 1.75e-06 1.75e-06 2.2e-06 1.9e-06 1.85e-06 1.8e-06 1.75e-06 1.5e-06 2e-06 1.6e-06 1.7e-06 1.7e-06 1.55e-06 2e-06 1.4e-06 1.8e-06 1.4e-06
39 1.8e-06 2.25e-06 2.15e-06 2.45e-06 2.4e-06 2.35e-06 2.4e-06 2.2e-06 1.5e-06 2.6e-06 1.9e-06 1.3e-06 2.55e-06 2.25e-06 2.1e-06 2.85e-06 2.65e-06 2.55e-06 1.95e-06 2.3e-06 2.7e-06 2.6e-06 2.35e-06 1.95e-06 2.35e-06 1.8e-06 2e-06 2.6e-06 2.3e-06 2.2e-06 2.5e-06 2.05e-06 2.2e-06 2.2e-06 2.3e-06 2.15e-06 2.05e-06 2.8e-06 1.9e-06 1e-07 2.15e-06 2.3e-06 1.9e-06 2.45e-06 1.6e-06 2.35e-06 2.05e-06 1.85e-06 2.4e-06 2.45e-06 2.25e-06 1.85e-06 2.85e-06 2.15e-06 2.15e-06 2e-06 2.45e-06 1.95e-06 2.45e-06 2.05e-06 2.2e-06 1.75e-06 1.6e-06 2.3e-06 2.4e-06 1.8e-06 1.9e-06
40 1.9e-06 1.9e-06 1.95e-06 2e-06 1.75e-06 1.95e-06 1.75e-06 1.75e-06 2.2e-06 2.05e-06 1.75e-06 2.05e-06 2.1e-06 1.75e-06 2e-06 2.25e-06 2.15e-06 2.2e-06 1.5e-06 1.95e-06 2.3e-06 2.25e-06 1.65e-06 1.9e-06 1.8e-06 2.1e-06 1.85e-06 2.1e-06 1.8e-06 2.1e-06 2e-06 1.45e-06 2.15e-06 2.25e-06 1.65e-06 2.05e-06 1.95e-06 2.25e-06 1.85e-06 2.15e-06 2.2e-06 2.2e-06 1.85e-06 1.9e-06 1.55e-06 1.75e-06 2.15e-06 2.2e-06 2.05e-06 1.7e-06 1.55e-06 1.95e-06 2.4e-06 1.8e-06 1.4e-06 2e-06 2.05e-06 1.9e-06 1.95e-06 1.9e-06 2e-06 1.6e-06 1.85e-06 2.25e-06 1.9e-06 1.6e-06 1.65e-06
41 1.55e-06 1.9e-06 2.1e-06 2.05e-06 1.45e-06 1.85e-06 1.95e-06 2e-06 2.1e-06 2.6e-06 1.95e-06 1.9e-06 1.9e-06 2.3e-06 1.85e-06 2.45e-06 1.55e-06 1.6e-06 1.95e-06 1.6e-06 2.15e-06 1.65e-06 1.65e-06 1.7e-06 2.2e-06 1.55e-06 1.6e-06 1.9e-06 1.65e-06 1.6e-06 2.2e-06 2.15e-06 1.7e-06 1.4e-06 1.9e-06 1.65e-06 1.5e-06 1.6e-06 1.9e-06 2.3e-06 2.2e-06 2.5e-06 1.85e-06 1.8e-06 1.6e-06 1.85e-06 1.65e-06 1.3e-06 1.9e-06 1.85e-06 1.9e-06 1.6e-06 2.05e-06 1.8e-06 1.95e-06 1.65e-06 1.45e-06 1.6e-06 1.85e-06 1.7e-06 1.85e-06 2e-06 1.4e-06 1.65e-06 2e-06 1.55e-06 1.7e-06
42 1.45e-06 1.9e-06 1.6e-06 2.2e-06 2e-06 2e-06 1.85e-06 1.75e-06 2.2e-06 2.4e-06 1.6e-06 1.7e-06 2.4e-06 2.2e-06 1.65e-06 2.55e-06 2.45e-06 2.4e-06 1.3e-06 2.2e-06 2.55e-06 2.45e-06 2.15e-06 1.55e-06 1.9e-06 1.55e-06 1.5e-06 2.3e-06 2.05e-06 1.5e-06 2.2e-06 1.4e-06 1.8e-06 1.8e-06 2.1e-06 1.95e-06 1.45e-06 2.45e-06 2e-06 1.9e-06 1.85e-06 1.85e-06 2.1e-06 2.1e-06 1.6e-06 1.5e-06 1.9e-06 1.15e-06 2.4e-06 1.9e-06 1.8e-06 1.45e-06 2.15e-06 1.7e-06 1.75e-06 1.65e-06 2e-06 2.1e-06 1.65e-06 2.05e-06 1.75e-06 1.4e-06 1.35e-06 1.85e-06 2e-06 1.35e-06 1.75e-06
43 1.65e-06 1.45e-06 2.15e-06 1.5e-06 1.2e-06 1.35e-06 1.75e-06 1.35e-06 1.65e-06 1.95e-06 2.2e-06 2.3e-06 1.05e-06 1.55e-06 1.9e-06 1.65e-06 1.1e-06 1.1e-06 1.5e-06 1.4e-06 1.85e-06 1.15e-06 1.7e-06 1.55e-06 1.7e-06 2.1e-06 1.35e-06 1.15e-06 1.65e-06 1.8e-06 1.6e-06 2e-06 1.75e-06 1.8e-06 1.35e-06 1.55e-06 1.5e-06 1.2e-06 1.7e-06 2.45e-06 1.9e-06 1.8e-06 2.1e-06 1.6e-06 1.4e-06 1.8e-06 1.95e-06 2.1e-06 1.5e-06 1.15e-06 1.7e-06 1.7e-06 2e-06 1.7e-06 1.9e-06 1.65e-06 1.5e-06 1.8e-06 1.85e-06 1.3e-06 1.8e-06 2e-06 1.9e-06 1.5e-06 1.5e-06 1.9e-06 1.35e-06
44 1.35e-06 1.5e-06 1.8e-06 1.8e-06 1.2e-06 1.55e-06 1.6e-06 1.6e-06 1.7e-06 2.2e-06 1.7e-06 1.45e-06 1.6e-06 1.9e-06 1.75e-06 2.1e-06 1.65e-06 1.7e-06 1.3e-06 1.45e-06 2.1e-06 1.75e-06 1.5e-06 1.35e-06 1.8e-06 1.35e-06 1.2e-06 1.7e-06 1.55e-06 1.6e-06 1.9e-06 1.55e-06 1.55e-06 1.65e-06 1.55e-06 1.5e-06 1.35e-06 1.75e-06 1.35e-06 1.6e-06 1.55e-06 1.6e-06 1.6e-06 1.4e-06 1.5e-06 1.65e-06 1.8e-06 1.55e-06 1.85e-06 1.25e-06 1.5e-06 1.4e-06 2e-06 1.6e-06 1.45e-06 1.45e-06 1.55e-06 1.45e-06 1.75e-06 1.35e-06 1.75e-06 1.35e-06 1.2e-06 1.7e-06 1.55e-06 1.35e-06 1.05e-06
45 1.6e-06 1.95e-06 1.55e-06 1.6e-06 1.8e-06 1.85e-06 1.6e-06 1.6e-06 2.15e-06 2.65e-06 1.5e-06 2e-06 2.1e-06 2.45e-06 1.95e-06 2.4e-06 2e-06 1.95e-06 1.5e-06 2e-06 2.5e-06 2e-06 1.8e-06 1.7e-06 1.75e-06 1.8e-06 1.55e-06 1.95e-06 1.55e-06 1.75e-06 2.4e-06 1.3e-06 1.95e-06 1.8e-06 1.65e-06 1.75e-06 1.6e-06 2e-06 2.2e-06 2.35e-06 1.75e-06 1.85e-06 1.5e-06 1.8e-06 1.65e-06 1.6e-06 1.95e-06 1.5e-06 2.35e-06 1.8e-06 1.7e-06 1.65e-06 2.1e-06 1.7e-06 1.1e-06 1.8e-06 1.9e-06 2.15e-06 1.4e-06 1.85e-06 2.05e-06 1.7e-06 1.6e-06 1.75e-06 1.7e-06 1.35e-06 1.8e-06
46 1.75e-06 2.15e-06 1.9e-06 2.15e-06 1.7e-06 1.95e-06 2.25e-06 2e-06 2.05e-06 2.2e-06 1.75e-06 1.9e-06 2e-06 1.95e-06 1.8e-06 2.3e-06 1.8e-06 1.65e-06 1.9e-06 1.85e-06 1.9e-06 1.7e-06 1.95e-06 1.95e-06 2.1e-06 1.7e-06 1.7e-06 1.95e-06 1.75e-06 1.9e-06 2.2e-06 2.2e-06 1.85e-06 1.5e-06 2.1e-06 1.8e-06 1.7e-06 1.85e-06 1.85e-06 2.05e-06 2.15e-06 1.65e-06 1.9e-06 1.95e-06 1.8e-06 1.95e-06 2.6e-06 1.6e-06 1.7e-06 1.95e-06 2.2e-06 1.8e-06 2.2e-06 1.7e-06 2.2e-06 1.85e-06 1.85e-06 1.7e-06 2.05e-06 1.9e-06 1.8e-06 2.05e-06 1.65e-06 1.85e-06 2.1e-06 1.8e-06 1.9e-06
47 9.5e-07 1.7e-06 1.5e-06 2.2e-06 2.05e-06 1.8e-06 1.75e-06 2.15e-06 2.15e-06 2.55e-06 1.45e-06 1.35e-06 2.3e-06 2.4e-06 1.25e-06 2.7e-06 2.4e-06 2.3e-06 1.8e-06 2.15e-06 2.55e-06 2.35e-06 2.2e-06 1.2e-06 2e-06 9e-07 1.15e-06 2.15e-06 2.05e-06 8.5e-07 2.15e-06 2e-06 1.25e-06 1.25e-06 2.15e-06 1.6e-06 9e-07 2.35e-06 1.95e-06 1.85e-06 2.2e-06 1.3e-06 1.15e-06 2.1e-06 1.55e-06 1.5e-06 1.6e-06 2e-07 2.45e-06 1.9e-06 1.7e-06 1e-06 1.75e-06 2.1e-06 1.9e-06 1.15e-06 1.75e-06 2.1e-06 1.3e-06 1.9e-06 1.35e-06 1.8e-06 7.5e-07 1.35e-06 1.95e-06 9.5e-07 1.65e-06
48 2e-06 1.9e-06 2.45e-06 1.85e-06 1.45e-06 1.6e-06 2.2e-06 1.7e-06 1.85e-06 2e-06 2.3e-06 2.45e-06 1.45e-06 1.4e-06 2.1e-06 1.8e-06 1.25e-06 1.15e-06 1.95e-06 1.5e-06 1.7e-06 1.2e-06 1.8e-06 2.1e-06 2.05e-06 2.35e-06 2.05e-06 1.5e-06 1.65e-06 2.25e-06 1.5e-06 2.3e-06 2.1e-06 1.8e-06 1.75e-06 1.9e-06 2.05e-06 1.5e-06 1.8e-06 2.4e-06 2.05e-06 1.9e-06 2.4e-06 1.5e-06 1.85e-06 2.35e-06 1.7e-06 2.45e-06 2.1e-06 1.75e-06 2.15e-06 2.05e-06 2.45e-06 1.65e-06 2.25e-06 2e-06 1.75e-06 1.65e-06 2.3e-06 1.65e-06 2e-06 2.25e-06 2.2e-06 1.9e-06 2e-06 2.25e-06 1.95e-06
49 1.6e-06 1.25e-06 1.8e-06 1.9e-06 1.2e-06 1.2e-06 1.5e-06 1.65e-06 2.05e-06 1.4e-06 2.05e-06 2.2e-06 1.25e-06 1.35e-06 1.55e-06 1.75e-06 1.65e-06 1.65e-06 1.35e-06 1.6e-06 1.75e-06 1.7e-06 1.85e-06 1.5e-06 1.3e-06 1.95e-06 1.15e-06 1.2e-06 1.8e-06 1.45e-06 1.55e-06 1.9e-06 1.45e-06 1.85e-06 1.75e-06 1.75e-06 1.2e-06 1.5e-06 1.5e-06 2.45e-06 1.7e-06 1.85e-06 1.9e-06 1.15e-06 1.25e-06 1.8e-06 1.95e-06 1.9e-06 1.75e-06 1.2e-06 1.45e-06 1.65e-06 1.75e-06 1.75e-06 1.9e-06 1.6e-06 1.5e-06 1.95e-06 1.5e-06 1.7e-06 1.45e-06 1.9e-06 1.8e-06 1.8e-06 1.2e-06 1.8e-06 1.3e-06
50 1.45e-06 1.2e-06 1.8e-06 1.85e-06 1.75e-06 1.55e-06 1.2e-06 1.85e-06 2.15e-06 1.9e-06 1.8e-06 1.95e-06 1.8e-06 1.8e-06 1.7e-06 2.3e-06 2e-06 2.05e-06 1.7e-06 1.7e-06 2.2e-06 2.1e-06 1.55e-06 1.4e-06 1.45e-06 1.8e-06 1.6e-06 1.8e-06 1.7e-06 1.35e-06 1.75e-06 1.6e-06 1.7e-06 1.95e-06 1.5e-06 1.8e-06 1.4e-06 1.9e-06 1.75e-06 2.25e-06 1.55e-06 1.9e-06 1.8e-06 1.7e-06 1.5e-06 1.7e-06 2.2e-06 1.7e-06 2.15e-06 1.45e-06 2e-06 1.5e-06 2e-06 1.95e-06 1.3e-06 1.6e-06 1.55e-06 1.95e-06 1.35e-06 1.7e-06 1.75e-06 1.7e-06 1.5e-06 1.9e-06 1.45e-06 1.3e-06 1.45e-06
51 9e-07 1.2e-06 1.65e-06 1.85e-06 1.8e-06 1.45e-06 1.6e-06 1.8e-06 1.85e-06 2.25e-06 1.65e-06 1.5e-06 1.8e-06 1.95e-06 1.5e-06 2.25e-06 1.95e-06 1.9e-06 1.7e-06 1.55e-06 2.3e-06 1.95e-06 1.9e-06 1.05e-06 1.75e-06 1.35e-06 1.35e-06 1.75e-06 1.85e-06 1.2e-06 1.7e-06 1.85e-06 1.45e-06 1.55e-06 1.7e-06 1.55e-06 1.2e-06 2.1e-06 1.75e-06 1.85e-06 1.95e-06 1.6e-06 1.45e-06 1.7e-06 1.4e-06 1.65e-06 1.8e-06 1e-06 2.05e-06 1.65e-06 1.5e-06 1.8e-06 1.95e-06 1.95e-06 1.7e-06 1.1e-06 1.7e-06 1.85e-06 1.45e-06 1.5e-06 1.6e-06 1.65e-06 1.05e-06 1.45e-06 1.7e-06 1.2e-06 1.45e-06
52 1.9e-06 1.85e-06 2e-06 2.5e-06 2.05e-06 2.05e-06 2.05e-06 2.25e-06 2.55e-06 2e-06 2.3e-06 2.45e-06 2.1e-06 2.1e-06 1.85e-06 2.25e-06 2.25e-06 2.25e-06 2.2e-06 2.25e-06 2.3e-06 2.3e-06 2.45e-06 1.8e-06 1.9e-06 2e-06 1.85e-06 2.05e-06 2.4e-06 1.65e-06 2.2e-06 2.5e-06 1.95e-06 2.1e-06 2.35e-06 2.15e-06 1.65e-06 2.05e-06 2.2e-06 2.85e-06 2.4e-06 2.05e-06 2.15e-06 2e-06 2e-06 2.1e-06 2.2e-06 1.75e-06 2.45e-06 1.75e-06 2e-06 1.95e-06 2.8e-06 2.35e-06 2.5e-06 2e-06 1.9e-06 2.4e-06 1.9e-06 2.2e-06 1.85e-06 2.4e-06 1.95e-06 2.05e-06 2e-06 2.05e-06 2.05e-06
53 1.9e-06 2e-06 2.1e-06 1.9e-06 1.4e-06 1.9e-06 2e-06 1.5e-06 2e-06 2.35e-06 2e-06 2.15e-06 1.9e-06 2e-06 2.1e-06 2.2e-06 1.6e-06 1.5e-06 1.35e-06 1.65e-06 1.95e-06 1.55e-06 1.65e-06 1.95e-06 2e-06 2.1e-06 1.8e-06 1.9e-06 1.5e-06 2.1e-06 2.15e-06 1.55e-06 2.1e-06 1.7e-06 1.8e-06 1.9e-06 1.9e-06 1.7e-06 1.9e-06 2.15e-06 1.8e-06 1.8e-06 1.7e-06 1.7e-06 1.6e-06 1.7e-06 1.7e-06 2.1e-06 1.65e-06 1.75e-06 1.95e-06 1.95e-06 2.35e-06 2.4e-06 1.8e-06 2e-06 1.7e-06 1.65e-06 2.05e-06 1.8e-06 2.1e-06 1.6e-06 1.9e-06 2e-06 1.95e-06 1.85e-06 1.75e-06
54 1.65e-06 1.8e-06 1.6e-06 1.3e-06 1.75e-06 1.7e-06 1.05e-06 1.75e-06 2.15e-06 2.65e-06 1.15e-06 1.95e-06 2.1e-06 2.3e-06 2.15e-06 2.6e-06 2e-06 2.1e-06 1.6e-06 1.75e-06 2.55e-06 2.15e-06 1.3e-06 1.7e-06 1.6e-06 1.75e-06 1.75e-06 2.15e-06 1.05e-06 1.95e-06 2.25e-06 8e-07 2.05e-06 2.05e-06 1.35e-06 1.9e-06 1.8e-06 2.15e-06 1.85e-06 2.15e-06 1.4e-06 1.95e-06 1.75e-06 1.9e-06 1.45e-06 1.1e-06 2.2e-06 1.9e-06 2.25e-06 1.9e-06 1.3e-06 1.7e-06 2.5e-06 1.8e-06 0.0 1.85e-06 1.8e-06 1.8e-06 1.4e-06 1.7e-06 2.25e-06 1.5e-06 1.55e-06 2.05e-06 1.45e-06 1.15e-06 1.55e-06
55 1.05e-06 1.3e-06 1.8e-06 1.9e-06 1.75e-06 1.5e-06 1.7e-06 1.85e-06 1.9e-06 2.2e-06 1.8e-06 1.6e-06 1.75e-06 1.9e-06 1.5e-06 2.2e-06 1.9e-06 1.85e-06 1.75e-06 1.6e-06 2.25e-06 1.9e-06 1.95e-06 1.2e-06 1.8e-06 1.5e-06 1.4e-06 1.7e-06 1.9e-06 1.25e-06 1.7e-06 2e-06 1.5e-06 1.6e-06 1.75e-06 1.6e-06 1.25e-06 2.05e-06 1.8e-06 2e-06 2e-06 1.65e-06 1.65e-06 1.65e-06 1.45e-06 1.8e-06 1.85e-06 1.15e-06 2e-06 1.6e-06 1.6e-06 1.1e-06 2e-06 2e-06 1.85e-06 2.1e-06 1.75e-06 1.9e-06 1.55e-06 1.55e-06 1.5e-06 1.8e-06 1.2e-06 1.5e-06 1.75e-06 1.35e-06 1.5e-06
56 1.65e-06 1.5e-06 2.05e-06 1.9e-06 1.3e-06 1.6e-06 1.6e-06 1.8e-06 2.05e-06 2.1e-06 2.1e-06 2.15e-06 1.6e-06 1.9e-06 1.85e-06 2.2e-06 1.35e-06 1.45e-06 1.85e-06 1.4e-06 1.9e-06 1.5e-06 1.5e-06 1.6e-06 1.75e-06 1.8e-06 1.65e-06 1.65e-06 1.55e-06 1.55e-06 1.9e-06 2e-06 1.75e-06 1.6e-06 1.7e-06 1.7e-06 1.45e-06 1.25e-06 1.75e-06 2.45e-06 2.05e-06 1.45e-06 2e-06 1.5e-06 1.55e-06 1.9e-06 1.85e-06 1.75e-06 1.75e-06 1.5e-06 1.55e-06 1.7e-06 1.9e-06 1.7e-06 1.8e-06 1.75e-06 2.2e-06 1.55e-06 1.7e-06 1.6e-06 1.85e-06 1.95e-06 1.65e-06 1.75e-06 1.6e-06 1.7e-06 1.55e-06
