 slim_762435341 slim_762435321 slim_762435349 slim_762435303 slim_762435330 slim_762435334 slim_762435351 slim_762435311 slim_762435316 slim_762435336 slim_762435337 slim_762435322 slim_762435332 slim_762435314 slim_762435318 slim_762435329 slim_762435313 slim_762435338 slim_762435306 slim_762435323 slim_762435312 slim_762435327 slim_762435308 slim_762435340 slim_762435326 slim_762435319 slim_762435305 slim_762435320 slim_762435333 slim_762435335 slim_762435339 slim_762435344 slim_762435325 slim_762435315 slim_762435304 slim_762435328 slim_762435345 slim_762435302 slim_762435350 slim_762435331 slim_762435310 slim_762435346 slim_762435307 slim_762435343 slim_762435347 slim_762435317 slim_762435309 slim_762435342 slim_762435324 slim_762435348
38 2.65e-06 1.55e-06 2.3e-06 1.3e-06 1.65e-06 2.35e-06 9.5e-07 2.55e-06 2.3e-06 1.2e-06 1.5e-07 1.2e-06 2.5e-06 1.4e-06 2.65e-06 2.75e-06 1.3e-06 5e-08 1e-06 1.4e-06 2.55e-06 1e-06 2.5e-06 1.45e-06 2.55e-06 2.45e-06 1.45e-06 2.55e-06 1.35e-06 2.3e-06 1.2e-06 2.15e-06 2.4e-06 2.25e-06 5e-08 2.8e-06 5e-08 5e-07 1e-07 2.8e-06 1.25e-06 2.6e-06 2e-07 2e-07 2.45e-06 2e-07 2.95e-06 2.55e-06 2.4e-06 1.15e-06
39 2.35e-06 2.25e-06 1.4e-06 2.25e-06 2.35e-06 1.2e-06 2.05e-06 1.2e-06 2.35e-06 2.15e-06 2.85e-06 3e-06 1.15e-06 2.55e-06 1e-06 1.9e-06 1.95e-06 2.75e-06 2.1e-06 2.35e-06 1.45e-06 2.3e-06 2.15e-06 2e-06 2.2e-06 2.25e-06 2.15e-06 1.25e-06 3e-06 1.7e-06 3e-06 2.55e-06 2.2e-06 2.05e-06 2.75e-06 1.5e-06 2.75e-06 2.4e-06 2.8e-06 1.1e-06 1.95e-06 2.2e-06 2.8e-06 2.9e-06 1.5e-06 2.8e-06 2.4e-06 1.6e-06 2.15e-06 2.1e-06
40 2.4e-06 1.75e-06 1.8e-06 1.6e-06 1.85e-06 1.85e-06 1.3e-06 1.5e-06 2.15e-06 1.55e-06 1.3e-06 1.9e-06 1.7e-06 1.8e-06 1.8e-06 2.2e-06 1.5e-06 1.2e-06 1.35e-06 1.7e-06 1.7e-06 1.5e-06 2.15e-06 1.55e-06 2.2e-06 2.25e-06 1.65e-06 1.8e-06 2.05e-06 1.9e-06 1.9e-06 2.2e-06 1.9e-06 1.95e-06 1.2e-06 2.05e-06 1.2e-06 1.3e-06 1.25e-06 1.95e-06 2.4e-06 2.3e-06 1.25e-06 1.35e-06 1.9e-06 1.3e-06 2.55e-06 1.9e-06 2.1e-06 1.45e-06
41 2.3e-06 2.65e-06 2e-06 2.2e-06 2.75e-06 2.15e-06 2.05e-06 2.15e-06 2.35e-06 2.15e-06 2.65e-06 2.4e-06 2.25e-06 2.2e-06 2.25e-06 2.4e-06 2.3e-06 2.55e-06 2.1e-06 2.3e-06 2e-06 2.4e-06 2.15e-06 2.4e-06 2.2e-06 2.3e-06 2.55e-06 2.15e-06 2.4e-06 2.5e-06 2.4e-06 2.25e-06 2.15e-06 2.05e-06 2.55e-06 2.5e-06 2.55e-06 2.6e-06 2.6e-06 2.2e-06 2.3e-06 3.1e-06 2.55e-06 2.7e-06 2e-06 2.5e-06 2.3e-06 2.5e-06 2.25e-06 2.5e-06
42 2.6e-06 1.6e-06 2.3e-06 1.35e-06 1.7e-06 2.35e-06 1e-06 2.5e-06 2.25e-06 1.25e-06 2.5e-07 1.2e-06 2.5e-06 1.45e-06 2.6e-06 2.75e-06 1.3e-06 1.5e-07 1.05e-06 1.45e-06 2.5e-06 1.05e-06 2.45e-06 1.5e-06 2.5e-06 2.4e-06 1.5e-06 2.5e-06 1.35e-06 2.3e-06 1.2e-06 2.1e-06 2.3e-06 2.2e-06 1.5e-07 2.8e-06 1.5e-07 5.5e-07 2e-07 2.8e-06 1.25e-06 2.55e-06 3e-07 3e-07 2.4e-06 2e-07 2.95e-06 2.55e-06 2.35e-06 1.2e-06
43 2.75e-06 1.65e-06 2.4e-06 1.4e-06 1.6e-06 2.45e-06 1.05e-06 2.65e-06 2.4e-06 1.3e-06 5e-08 1.3e-06 2.6e-06 1.5e-06 2.75e-06 2.85e-06 1.4e-06 1.5e-07 1.1e-06 1.4e-06 2.65e-06 1.1e-06 2.6e-06 1.55e-06 2.65e-06 2.55e-06 1.45e-06 2.65e-06 1.45e-06 2.4e-06 1.3e-06 2.25e-06 2.5e-06 2.35e-06 1.5e-07 2.9e-06 1.5e-07 6e-07 2e-07 2.9e-06 1.35e-06 2.7e-06 3e-07 1e-07 2.55e-06 3e-07 3.05e-06 2.65e-06 2.5e-06 1.25e-06
44 2.05e-06 2.05e-06 1.65e-06 2e-06 2.15e-06 1.7e-06 1.85e-06 1.45e-06 2.15e-06 1.95e-06 2.5e-06 2.6e-06 1.35e-06 2e-06 1.4e-06 1.55e-06 1.8e-06 2.4e-06 1.9e-06 2.1e-06 1.5e-06 2.2e-06 2.1e-06 2e-06 2.15e-06 2.05e-06 1.9e-06 1.25e-06 2.6e-06 1.85e-06 2.6e-06 2.4e-06 2.1e-06 1.95e-06 2.4e-06 1.35e-06 2.4e-06 2.3e-06 2.45e-06 1.5e-06 1.9e-06 2e-06 2.4e-06 2.55e-06 2.2e-06 2.4e-06 2.15e-06 1.55e-06 2.15e-06 1.95e-06
45 2.55e-06 1.6e-06 2.25e-06 1.3e-06 1.7e-06 2.35e-06 9.5e-07 2.55e-06 2.2e-06 1.2e-06 2.5e-07 1.15e-06 2.5e-06 1.4e-06 2.65e-06 2.7e-06 1.35e-06 1.5e-07 1e-06 1.4e-06 2.5e-06 1.05e-06 2.4e-06 1.5e-06 2.45e-06 2.35e-06 1.5e-06 2.55e-06 1.3e-06 2.3e-06 1.15e-06 2.05e-06 2.3e-06 2.15e-06 1.5e-07 2.8e-06 1.5e-07 5.5e-07 2e-07 2.8e-06 1.3e-06 2.5e-06 2e-07 3e-07 2.4e-06 3e-07 2.9e-06 2.55e-06 2.3e-06 1.2e-06
46 1.85e-06 2.2e-06 2.1e-06 2.4e-06 2.3e-06 2.15e-06 2.45e-06 1.9e-06 2.3e-06 2.4e-06 3e-06 2.65e-06 1.9e-06 2.2e-06 2.1e-06 1.6e-06 2.85e-06 2.9e-06 2.5e-06 2.5e-06 2.05e-06 2.55e-06 2.1e-06 2.45e-06 2.15e-06 2.1e-06 2.35e-06 2.25e-06 2.5e-06 2.2e-06 2.65e-06 2.3e-06 2.3e-06 2.25e-06 2.9e-06 1.75e-06 2.9e-06 2.8e-06 2.95e-06 2.4e-06 2.55e-06 2.3e-06 2.95e-06 3.05e-06 2.15e-06 2.9e-06 3e-06 2.05e-06 2.35e-06 2.55e-06
47 1.8e-06 1.8e-06 1.75e-06 2.2e-06 1.9e-06 1.55e-06 2.05e-06 1.15e-06 1.9e-06 2.15e-06 2.6e-06 2.75e-06 9.5e-07 2.2e-06 1.25e-06 1.35e-06 2.05e-06 2.5e-06 2.1e-06 2.3e-06 1.65e-06 2.1e-06 2.1e-06 1.95e-06 2.15e-06 2.05e-06 1.85e-06 1.3e-06 2.75e-06 1.5e-06 2.75e-06 2.35e-06 2.15e-06 2.05e-06 2.5e-06 1.15e-06 2.5e-06 2.25e-06 2.55e-06 1.6e-06 1.9e-06 2.5e-06 2.55e-06 2.65e-06 1.55e-06 2.55e-06 2.05e-06 1.4e-06 2.2e-06 1.65e-06
48 2e-06 2.4e-06 2e-06 2.25e-06 2.5e-06 1.9e-06 1.9e-06 2e-06 1.75e-06 2.15e-06 2.45e-06 1.9e-06 1.9e-06 2.25e-06 2.05e-06 2.3e-06 2.3e-06 2.35e-06 1.95e-06 2.35e-06 1.95e-06 2e-06 1.75e-06 2.25e-06 1.75e-06 1.7e-06 2.3e-06 2.15e-06 2.1e-06 1.85e-06 1.9e-06 1.55e-06 1.65e-06 1.55e-06 2.35e-06 2.2e-06 2.35e-06 2.25e-06 2.4e-06 2.15e-06 2.1e-06 2.25e-06 2.35e-06 2.5e-06 2.15e-06 2.3e-06 2.35e-06 2.2e-06 2.9e-06 2.15e-06
49 2.4e-06 1.55e-06 2e-06 1.7e-06 1.65e-06 1.95e-06 1.35e-06 1.85e-06 1.85e-06 1.6e-06 1.2e-06 1.85e-06 1.75e-06 1.8e-06 1.9e-06 2.1e-06 1.5e-06 1.1e-06 1.4e-06 1.8e-06 2.05e-06 1.45e-06 2.3e-06 1.65e-06 2.35e-06 2.2e-06 1.6e-06 1.9e-06 2e-06 1.8e-06 1.85e-06 2.2e-06 2.2e-06 2.05e-06 1.1e-06 2.05e-06 1.1e-06 1.15e-06 1.15e-06 2.1e-06 1.45e-06 2.5e-06 1.2e-06 1.25e-06 1.95e-06 1.2e-06 2.55e-06 1.65e-06 2.15e-06 2.2e-06
