 slim_762485432 slim_762485393 slim_762485420 slim_762485417 slim_762485398 slim_762485419 slim_762485405 slim_762485383 slim_762485407 slim_762485392 slim_762485372 slim_762485369 slim_762485401 slim_762485425 slim_762485413 slim_762485427 slim_762485402 slim_762485378 slim_762485389 slim_762485418 slim_762485394 slim_762485388 slim_762485423 slim_762485410 slim_762485381 slim_762485385 slim_762485375 slim_762485395 slim_762485422 slim_762485424 slim_762485412 slim_762485415 slim_762485384 slim_762485409 slim_762485429 slim_762485421 slim_762485406 slim_762485414 slim_762485404 slim_762485430 slim_762485390 slim_762485373 slim_762485387 slim_762485376 slim_762485431 slim_762485380 slim_762485371 slim_762485377 slim_762485426 slim_762485374 slim_762485428 slim_762485391 slim_762485382 slim_762485408 slim_762485411 slim_762485370 slim_762485396 slim_762485416 slim_762485403 slim_762485379 slim_762485400 slim_762485397 slim_762485399 slim_762485386
29 2.4e-06 1.85e-06 2.2e-06 2e-06 1.9e-06 1.75e-06 2.4e-06 1.9e-06 1.7e-06 1.7e-06 2.15e-06 1.65e-06 2e-06 2.3e-06 1.3e-06 1.7e-06 1.75e-06 2.05e-06 1.55e-06 2.3e-06 2.05e-06 1.95e-06 2.1e-06 2.2e-06 2e-06 1.55e-06 1.8e-06 2.1e-06 1.85e-06 2.3e-06 1.95e-06 1.5e-06 1.95e-06 1.75e-06 1.95e-06 1.4e-06 2.55e-06 2.15e-06 1.95e-06 2.1e-06 1.5e-06 1.85e-06 1.95e-06 1.75e-06 1.8e-06 2.2e-06 2e-06 1.95e-06 1.75e-06 1.8e-06 2.2e-06 1.95e-06 1.9e-06 1.95e-06 1.95e-06 2e-06 2.4e-06 1.95e-06 1.95e-06 2.1e-06 2.1e-06 1.95e-06 2.1e-06 1.3e-06
30 2e-06 1.8e-06 1.8e-06 2.15e-06 1.65e-06 1.95e-06 2.55e-06 2e-06 1.9e-06 1.7e-06 1.8e-06 1.9e-06 1.85e-06 1.95e-06 1.75e-06 1.7e-06 1.75e-06 2.15e-06 1.95e-06 2.1e-06 2.15e-06 2e-06 2.1e-06 2.1e-06 2e-06 2e-06 2.1e-06 2.2e-06 2.25e-06 1.95e-06 2.8e-06 2e-06 2.25e-06 1.8e-06 2.2e-06 1.7e-06 2.65e-06 2.35e-06 2.35e-06 2.15e-06 1.7e-06 1.6e-06 2.05e-06 1.8e-06 1.6e-06 2.2e-06 1.95e-06 1.75e-06 1.95e-06 1.8e-06 2.05e-06 1.85e-06 2e-06 1.85e-06 1.95e-06 1.95e-06 2.1e-06 2e-06 2e-06 2.25e-06 1.75e-06 2.05e-06 1.75e-06 1.8e-06
31 2.9e-06 1.8e-06 2.6e-06 1.35e-06 1.75e-06 1.45e-06 2.35e-06 2.1e-06 2e-06 1.2e-06 2.5e-06 1.05e-06 1.85e-06 2.45e-06 2.2e-06 2.35e-06 2.4e-06 1.55e-06 1.55e-06 2.8e-06 1.75e-06 2.4e-06 2e-06 2.3e-06 1.55e-06 1.65e-06 1.3e-06 2.6e-06 1.2e-06 1.5e-06 2e-06 1.2e-06 1.75e-06 1.6e-06 1.5e-06 1.6e-06 2.55e-06 1.85e-06 2.55e-06 1.95e-06 2.25e-06 1.7e-06 2.7e-06 1.6e-06 1.6e-06 2.2e-06 1.95e-06 1.85e-06 1.55e-06 2.35e-06 2.75e-06 1.95e-06 2.55e-06 1.95e-06 1.85e-06 1.95e-06 3e-06 1.8e-06 2.4e-06 1.65e-06 2.55e-06 2.55e-06 2.45e-06 2.25e-06
32 2.6e-06 1.75e-06 2.1e-06 1.9e-06 2.05e-06 1.8e-06 2.2e-06 2.2e-06 2.3e-06 1.8e-06 2.4e-06 1.75e-06 1.95e-06 2.3e-06 2.25e-06 2.35e-06 2.4e-06 1.9e-06 1.55e-06 2.35e-06 2.15e-06 1.9e-06 2.4e-06 1.8e-06 1.95e-06 1.7e-06 1.95e-06 2.2e-06 1.95e-06 1.95e-06 2.25e-06 1.75e-06 2.2e-06 2e-06 2.2e-06 2e-06 2.2e-06 2.1e-06 2.4e-06 2.1e-06 2.2e-06 2e-06 2.3e-06 2.1e-06 1.65e-06 1.95e-06 2.2e-06 2.1e-06 2.2e-06 2.05e-06 2.35e-06 2.15e-06 2.5e-06 2.15e-06 1.75e-06 1.9e-06 2.4e-06 2.25e-06 1.9e-06 1.9e-06 2.6e-06 2.1e-06 2.35e-06 2.3e-06
33 1.85e-06 1.95e-06 2e-06 1.85e-06 1.4e-06 2e-06 2.5e-06 2.15e-06 1.7e-06 1.75e-06 1.25e-06 1.6e-06 1.4e-06 2e-06 1.85e-06 1.6e-06 1.65e-06 1.8e-06 1.75e-06 1.9e-06 2.1e-06 2.05e-06 1.65e-06 2.25e-06 1.8e-06 1.8e-06 1.55e-06 2.3e-06 1.75e-06 1.75e-06 1.8e-06 1.6e-06 2e-06 2.3e-06 2.05e-06 1.75e-06 2.45e-06 2.2e-06 2.25e-06 2.1e-06 1.85e-06 1.35e-06 2.2e-06 1.2e-06 1.75e-06 2.1e-06 1.65e-06 1.55e-06 1.7e-06 2e-06 1.95e-06 1.6e-06 1.7e-06 1.6e-06 2e-06 2.1e-06 2.25e-06 2e-06 2.05e-06 1.75e-06 1.4e-06 2.2e-06 1.2e-06 1.9e-06
34 3.3e-06 1.7e-06 2.95e-06 1.45e-06 2.2e-06 2.2e-06 2.3e-06 2.05e-06 2.15e-06 1.1e-06 3.05e-06 1.05e-06 2.25e-06 2.8e-06 2.5e-06 2.6e-06 2.65e-06 1.9e-06 2e-06 3.2e-06 1.65e-06 2.85e-06 1.9e-06 2.65e-06 1.7e-06 1.95e-06 1.7e-06 2.9e-06 1.15e-06 1.95e-06 2.2e-06 1.5e-06 2.2e-06 2.05e-06 1.7e-06 2.05e-06 2.9e-06 1.75e-06 3.05e-06 1.75e-06 2.45e-06 2.15e-06 2.85e-06 2.05e-06 1.95e-06 2.45e-06 2.3e-06 2.25e-06 2.35e-06 2.55e-06 3.1e-06 1.95e-06 3.15e-06 1.95e-06 1.85e-06 1.85e-06 3.3e-06 2.55e-06 2.85e-06 1.9e-06 3e-06 2.7e-06 3e-06 2.55e-06
35 2.2e-06 1.9e-06 2.1e-06 1.75e-06 1.5e-06 1.8e-06 2.35e-06 1.95e-06 1.65e-06 1.5e-06 1.9e-06 1.75e-06 1.9e-06 2.15e-06 1.25e-06 1.55e-06 1.6e-06 1.95e-06 1.5e-06 2.1e-06 2.05e-06 1.85e-06 2e-06 2.1e-06 1.9e-06 1.65e-06 1.8e-06 1.85e-06 2e-06 1.4e-06 1.7e-06 1.6e-06 2e-06 1.75e-06 2.05e-06 2.2e-06 2.35e-06 2.1e-06 1.8e-06 2.1e-06 1.3e-06 1.45e-06 1.85e-06 1.75e-06 1.5e-06 2.15e-06 2.05e-06 1.55e-06 1.7e-06 1.75e-06 2e-06 1.9e-06 1.75e-06 1.9e-06 1.95e-06 2.05e-06 2.25e-06 1.95e-06 1.85e-06 2.05e-06 1.9e-06 1.85e-06 1.85e-06 1.25e-06
36 2.75e-06 2.55e-06 2.65e-06 2.5e-06 2.3e-06 2.6e-06 2.1e-06 2.85e-06 2.4e-06 2.45e-06 2.4e-06 2.55e-06 2.35e-06 2.15e-06 2.45e-06 2.45e-06 2.5e-06 2.1e-06 2.2e-06 2.35e-06 2.3e-06 2.25e-06 2.7e-06 2.1e-06 2.15e-06 2.35e-06 2.2e-06 1.8e-06 2.75e-06 2.55e-06 2.65e-06 2.55e-06 2.2e-06 2.45e-06 2.9e-06 2.35e-06 2.8e-06 2.3e-06 1.95e-06 2.8e-06 2.4e-06 2.25e-06 2.4e-06 2.55e-06 2.3e-06 2.35e-06 2.8e-06 2.35e-06 2.6e-06 2.55e-06 2.35e-06 2.55e-06 2.7e-06 2.55e-06 2.55e-06 2.7e-06 2.55e-06 2.8e-06 2.25e-06 2.2e-06 2.65e-06 2.05e-06 2.35e-06 2.5e-06
37 3e-06 2.1e-06 2.7e-06 1.75e-06 2.2e-06 2.25e-06 2.2e-06 2.45e-06 2.35e-06 1.75e-06 2.75e-06 1.75e-06 2.25e-06 2.6e-06 2.45e-06 2.55e-06 2.6e-06 1.95e-06 2e-06 2.6e-06 2.15e-06 2.3e-06 2.15e-06 1.95e-06 1.9e-06 2.1e-06 1.9e-06 2.3e-06 1.7e-06 2.15e-06 2.35e-06 1.85e-06 2.1e-06 2.2e-06 1.75e-06 2.1e-06 2.3e-06 2.9e-06 2.45e-06 2.05e-06 2.4e-06 2.15e-06 2.45e-06 2.25e-06 2e-06 2.15e-06 2.45e-06 2.25e-06 2.4e-06 2.5e-06 2.55e-06 2.3e-06 2.9e-06 2.3e-06 2.15e-06 2.25e-06 2.7e-06 2.55e-06 2.3e-06 2.1e-06 2.85e-06 2.5e-06 2.7e-06 2.5e-06
38 2.25e-06 2.5e-06 2.2e-06 2.75e-06 2.15e-06 2.35e-06 2.25e-06 2.5e-06 2.1e-06 2.65e-06 1.95e-06 2.75e-06 2.35e-06 2.4e-06 1.35e-06 1.7e-06 1.75e-06 2.6e-06 2e-06 1.95e-06 2.85e-06 1.75e-06 2.5e-06 2.05e-06 2.6e-06 2.1e-06 2.5e-06 1.35e-06 2.9e-06 1.95e-06 2.35e-06 2.55e-06 2.4e-06 2.25e-06 3.05e-06 1.8e-06 1.95e-06 2.45e-06 2.3e-06 2.65e-06 1.5e-06 2.1e-06 1.75e-06 2.25e-06 2.2e-06 2.4e-06 2.55e-06 2.15e-06 2.25e-06 1.9e-06 1.9e-06 2.45e-06 1.85e-06 2.45e-06 2.55e-06 2.65e-06 2.1e-06 2.45e-06 1.75e-06 2.7e-06 2.05e-06 1.65e-06 1.9e-06 1.4e-06
39 2.85e-06 1.75e-06 2.15e-06 2e-06 2.25e-06 1.9e-06 2.6e-06 2.15e-06 2.2e-06 1.9e-06 2.65e-06 1.85e-06 2.3e-06 2.55e-06 2.25e-06 2.4e-06 2.45e-06 2.25e-06 2.15e-06 2.75e-06 2.25e-06 2.15e-06 2.05e-06 2.1e-06 2.15e-06 2.2e-06 2.05e-06 2.55e-06 1.75e-06 2.1e-06 2.15e-06 1.95e-06 2.1e-06 2.1e-06 1.75e-06 2.1e-06 2.8e-06 2.05e-06 2.65e-06 3.1e-06 2.25e-06 2.2e-06 2.55e-06 2.1e-06 1.7e-06 2.45e-06 2.25e-06 2.35e-06 2.4e-06 1.95e-06 2.7e-06 2.3e-06 2.55e-06 2.3e-06 1.85e-06 1.85e-06 2.75e-06 2.45e-06 2.15e-06 2.3e-06 2.55e-06 2.4e-06 2.6e-06 2.3e-06
40 1.7e-06 1.95e-06 1.7e-06 2.4e-06 1.65e-06 2e-06 2.4e-06 1.85e-06 1.3e-06 2e-06 1.5e-06 2.25e-06 2e-06 2.05e-06 5e-07 8e-07 8.5e-07 2.45e-06 1.4e-06 1.6e-06 2.4e-06 1.4e-06 2.05e-06 2.05e-06 2.3e-06 1.4e-06 2.3e-06 1.3e-06 2.55e-06 1.5e-06 1.7e-06 2.25e-06 2.2e-06 1.85e-06 2.45e-06 1.3e-06 2.4e-06 2.4e-06 1.5e-06 2.25e-06 6e-07 1.6e-06 1e-06 1.85e-06 1.75e-06 2.15e-06 2.05e-06 1.7e-06 1.8e-06 1.1e-06 1.5e-06 1.85e-06 1.4e-06 1.85e-06 2.05e-06 2.1e-06 1.65e-06 1.95e-06 1.4e-06 2.55e-06 1.5e-06 1.15e-06 1.45e-06 5.5e-07
41 1.7e-06 2.05e-06 2e-06 1.65e-06 1.1e-06 2.05e-06 2.4e-06 2.25e-06 1.75e-06 1.55e-06 1.15e-06 1.75e-06 1.4e-06 1.9e-06 1.75e-06 1.45e-06 1.5e-06 1.75e-06 1.6e-06 1.75e-06 2.1e-06 2e-06 1.65e-06 2.2e-06 1.75e-06 1.8e-06 1.7e-06 2e-06 1.9e-06 1.85e-06 1.6e-06 1.7e-06 2e-06 1.35e-06 2.15e-06 1.45e-06 2.25e-06 2.15e-06 2.1e-06 2.2e-06 1.6e-06 2.1e-06 2.05e-06 1.4e-06 1.55e-06 2.05e-06 1.85e-06 1.2e-06 1.6e-06 2e-06 1.75e-06 1.6e-06 1.7e-06 1.6e-06 2.05e-06 2.2e-06 2.1e-06 1.95e-06 2e-06 1.8e-06 1.35e-06 2.05e-06 1.1e-06 1.8e-06
42 1.8e-06 2.15e-06 1.8e-06 2.85e-06 2.1e-06 2.3e-06 2.45e-06 2.1e-06 1.8e-06 2.45e-06 1.8e-06 2.6e-06 2.2e-06 2.2e-06 1.05e-06 1.3e-06 1.35e-06 2.6e-06 1.85e-06 1.4e-06 2.7e-06 1.4e-06 2.45e-06 1.9e-06 2.5e-06 1.8e-06 2.6e-06 1.55e-06 2.95e-06 1.95e-06 2.05e-06 2.7e-06 2.3e-06 2.2e-06 2.85e-06 1.85e-06 2.4e-06 2.45e-06 1.75e-06 2.55e-06 1e-06 2.05e-06 1.8e-06 2.25e-06 2.1e-06 1.8e-06 2.3e-06 2.15e-06 2.25e-06 1.45e-06 1.35e-06 2.15e-06 1.8e-06 2.15e-06 2.25e-06 2.3e-06 1.35e-06 2.25e-06 1.4e-06 2.75e-06 1.9e-06 1.4e-06 1.75e-06 1.1e-06
43 1.9e-06 1.95e-06 2e-06 1.9e-06 1.45e-06 2e-06 2.55e-06 2.15e-06 1.7e-06 1.75e-06 1.35e-06 1.6e-06 1.5e-06 2.05e-06 1.85e-06 1.6e-06 1.65e-06 1.85e-06 1.8e-06 2e-06 2.1e-06 2.1e-06 1.7e-06 2.3e-06 1.85e-06 1.85e-06 1.55e-06 2.35e-06 1.8e-06 1.75e-06 1.8e-06 1.6e-06 2.1e-06 1.2e-06 2.05e-06 1.75e-06 2.55e-06 2.25e-06 2.25e-06 2.1e-06 1.85e-06 1.4e-06 2.25e-06 2.3e-06 1.75e-06 2.2e-06 1.65e-06 1.55e-06 1.7e-06 2e-06 2e-06 1.65e-06 1.75e-06 1.65e-06 2e-06 2.1e-06 2.3e-06 2e-06 2.1e-06 1.85e-06 1.4e-06 2.25e-06 1.3e-06 1.9e-06
44 2.35e-06 1.35e-06 1.65e-06 1.75e-06 1.6e-06 1.45e-06 2.15e-06 1.8e-06 1.8e-06 1.35e-06 2.15e-06 1.55e-06 1.85e-06 2.1e-06 1.85e-06 1.95e-06 2e-06 1.8e-06 1.7e-06 2.25e-06 1.9e-06 1.65e-06 2.15e-06 1.55e-06 1.75e-06 1.85e-06 1.7e-06 2e-06 1.95e-06 1.8e-06 1.6e-06 1.6e-06 1.65e-06 1.75e-06 1.95e-06 1.5e-06 2.3e-06 2e-06 2.2e-06 1.7e-06 1.75e-06 1.55e-06 2.1e-06 1.75e-06 2.1e-06 2e-06 1.9e-06 1.7e-06 1.95e-06 1.55e-06 2.2e-06 1.9e-06 2.1e-06 1.9e-06 1.4e-06 1.5e-06 2.25e-06 2e-06 1.65e-06 1.85e-06 2.1e-06 1.95e-06 2.1e-06 1.9e-06
45 2.2e-06 2e-06 2.05e-06 2.35e-06 2.1e-06 2.25e-06 2.2e-06 2.15e-06 2.4e-06 2.05e-06 2.15e-06 2e-06 1.75e-06 2.3e-06 2.2e-06 2.25e-06 2.3e-06 1.9e-06 1.95e-06 1.8e-06 2.4e-06 1.85e-06 2.45e-06 1.85e-06 1.95e-06 2.1e-06 2.25e-06 2.1e-06 2.3e-06 2.2e-06 2.2e-06 2.2e-06 1.95e-06 2.1e-06 2.45e-06 2.15e-06 2.35e-06 2.15e-06 2.4e-06 2.45e-06 2.15e-06 2.05e-06 1.8e-06 2.2e-06 2e-06 2.7e-06 2.2e-06 2.2e-06 2.4e-06 2.2e-06 1.85e-06 2.1e-06 2.4e-06 2.1e-06 2e-06 2.15e-06 1.75e-06 2.3e-06 1.85e-06 2e-06 2.45e-06 2.15e-06 2.1e-06 2.25e-06
46 2.1e-06 1.95e-06 1.7e-06 2.3e-06 1.9e-06 2.1e-06 2.5e-06 2.15e-06 2.05e-06 2e-06 1.85e-06 1.85e-06 1.8e-06 2.25e-06 2.05e-06 1.95e-06 2e-06 2.15e-06 2.05e-06 2.2e-06 2.4e-06 2.15e-06 2.15e-06 2.25e-06 2.15e-06 2.1e-06 2e-06 2.45e-06 2.15e-06 2e-06 1.95e-06 1.95e-06 2.2e-06 1.65e-06 2.3e-06 2.05e-06 2.8e-06 2.45e-06 2.55e-06 2.25e-06 2.05e-06 1.85e-06 2.3e-06 1.65e-06 1.9e-06 2.2e-06 3.1e-06 2.05e-06 2.1e-06 2.05e-06 2.2e-06 1.95e-06 2.1e-06 1.95e-06 1.9e-06 2.1e-06 2e-06 1.9e-06 2.15e-06 2.15e-06 1.9e-06 2.3e-06 1.8e-06 2.1e-06
47 1.85e-06 2.2e-06 2.2e-06 1.75e-06 1.25e-06 2.2e-06 2.5e-06 2.4e-06 1.9e-06 1.65e-06 1.35e-06 1.9e-06 1.6e-06 2.05e-06 1.85e-06 1.55e-06 1.6e-06 1.9e-06 1.7e-06 1.9e-06 2.2e-06 2.15e-06 1.8e-06 2.35e-06 1.9e-06 1.9e-06 1.85e-06 2.1e-06 2.05e-06 1.95e-06 1.75e-06 1.85e-06 2.1e-06 1.55e-06 2.25e-06 1.55e-06 2.35e-06 2.25e-06 2.15e-06 2.35e-06 1.7e-06 1.2e-06 2.15e-06 1.55e-06 1.7e-06 2.2e-06 2.05e-06 2.3e-06 1.7e-06 2.15e-06 1.85e-06 1.75e-06 1.9e-06 1.75e-06 2.2e-06 2.35e-06 2.25e-06 2.1e-06 2.15e-06 1.95e-06 1.5e-06 2.15e-06 1.3e-06 1.9e-06
48 1.95e-06 2.25e-06 2.25e-06 2.1e-06 1.6e-06 1.8e-06 2.7e-06 2.35e-06 2e-06 1.95e-06 1.6e-06 2e-06 1.8e-06 2.2e-06 1.75e-06 1.6e-06 1.65e-06 2.1e-06 1.8e-06 2.1e-06 2.3e-06 2.2e-06 2e-06 2.45e-06 2.1e-06 1.9e-06 1.95e-06 2.3e-06 2.1e-06 1.75e-06 1.95e-06 1.55e-06 2.2e-06 1.7e-06 2.35e-06 1.7e-06 2.6e-06 2.4e-06 2.25e-06 2.4e-06 1.8e-06 1.6e-06 2.25e-06 1.7e-06 1.95e-06 2.4e-06 2.1e-06 1.7e-06 2.7e-06 2.15e-06 2e-06 1.9e-06 1.9e-06 1.9e-06 2.3e-06 2.4e-06 2.4e-06 1.8e-06 2.2e-06 2.25e-06 1.6e-06 2.25e-06 1.55e-06 1.8e-06
49 2.05e-06 1.55e-06 1.4e-06 2.7e-06 2.05e-06 1.7e-06 2.45e-06 1.75e-06 1.6e-06 2.15e-06 1.95e-06 2.25e-06 2.15e-06 2.15e-06 1.1e-06 1.4e-06 1.45e-06 2.5e-06 1.9e-06 1.95e-06 2.4e-06 1.35e-06 2.4e-06 1.65e-06 2.35e-06 1.8e-06 2.35e-06 1.75e-06 2.7e-06 1.8e-06 1.8e-06 2.35e-06 2.05e-06 2e-06 2.55e-06 1.75e-06 2.55e-06 2.5e-06 1.9e-06 1.95e-06 1.1e-06 2e-06 1.45e-06 2e-06 1.55e-06 2.2e-06 2.05e-06 2.15e-06 2.15e-06 1.9e-06 1.9e-06 2.05e-06 1.7e-06 2.05e-06 1.7e-06 1.65e-06 1.85e-06 2.1e-06 1.35e-06 2.55e-06 1.85e-06 1.45e-06 1.9e-06 1.15e-06
50 1.2e-06 2.45e-06 1.75e-06 2.8e-06 1.75e-06 2.5e-06 2.6e-06 2.45e-06 2.15e-06 2.65e-06 1.15e-06 2.75e-06 1.8e-06 2e-06 1.55e-06 1.3e-06 1.3e-06 2.45e-06 2e-06 1.1e-06 2.85e-06 1.6e-06 2.2e-06 2.05e-06 2.5e-06 2.15e-06 2.55e-06 1.75e-06 2.95e-06 2.2e-06 2.05e-06 2.75e-06 2.35e-06 1.95e-06 3.1e-06 2e-06 2.35e-06 2.55e-06 1.9e-06 2.7e-06 1.5e-06 1.75e-06 1.35e-06 2e-06 2.2e-06 1.85e-06 2.2e-06 1.85e-06 2e-06 1.9e-06 2e-06 2e-06 1.6e-06 2e-06 2.45e-06 2.6e-06 1.25e-06 2.2e-06 1.6e-06 2.65e-06 1.3e-06 1.8e-06 1.1e-06 1.6e-06
51 1.9e-06 1.8e-06 2.1e-06 2.1e-06 1.6e-06 2.2e-06 2.3e-06 2e-06 1.9e-06 1.6e-06 1.55e-06 1.6e-06 1.55e-06 2.15e-06 1.9e-06 1.65e-06 1.7e-06 1.95e-06 1.9e-06 2e-06 2e-06 2.2e-06 1.95e-06 2.3e-06 1.85e-06 1.9e-06 1.95e-06 2.3e-06 2.05e-06 1.95e-06 1.85e-06 1.95e-06 2.15e-06 1.6e-06 1.95e-06 1.9e-06 2.55e-06 2.3e-06 2.45e-06 2.3e-06 1.85e-06 1.6e-06 2.15e-06 1.65e-06 1.9e-06 2.1e-06 1.95e-06 1.75e-06 1.9e-06 2.05e-06 2e-06 3e-06 2e-06 1.5e-06 1.9e-06 1.95e-06 2.25e-06 2.15e-06 2.2e-06 1.95e-06 1.7e-06 2.15e-06 1.5e-06 1.95e-06
52 1.45e-06 2.4e-06 1.7e-06 2.85e-06 1.7e-06 2.25e-06 3e-06 2.2e-06 1.9e-06 2.75e-06 1e-06 2.75e-06 1.75e-06 2.05e-06 1.25e-06 1.25e-06 1.3e-06 2.6e-06 2.05e-06 1.55e-06 2.9e-06 1.7e-06 2.1e-06 2.3e-06 2.6e-06 2.15e-06 2.5e-06 2e-06 2.85e-06 1.9e-06 2e-06 2.55e-06 2.5e-06 1.7e-06 3.15e-06 1.75e-06 2.7e-06 2.9e-06 1.85e-06 2.55e-06 1.4e-06 1.7e-06 1.8e-06 1.75e-06 2.1e-06 2.4e-06 2.1e-06 1.9e-06 1.9e-06 1.7e-06 1.6e-06 2e-06 1.9e-06 2e-06 2.45e-06 2.55e-06 1.85e-06 2.15e-06 1.7e-06 2.65e-06 1.1e-06 1.95e-06 9.5e-07 1.25e-06
53 1.9e-06 1.8e-06 2.1e-06 2.1e-06 1.6e-06 2.2e-06 2.3e-06 2e-06 1.9e-06 1.6e-06 1.55e-06 1.6e-06 1.55e-06 2.15e-06 1.9e-06 1.65e-06 1.7e-06 1.95e-06 1.9e-06 2e-06 2e-06 2.2e-06 1.95e-06 2.3e-06 1.85e-06 1.9e-06 1.95e-06 2.3e-06 2.05e-06 1.95e-06 1.85e-06 1.95e-06 2.15e-06 1.6e-06 1.95e-06 1.9e-06 2.55e-06 2.3e-06 2.45e-06 2.3e-06 1.85e-06 1.6e-06 2.15e-06 1.65e-06 1.9e-06 2.1e-06 1.95e-06 1.75e-06 1.9e-06 2.05e-06 2e-06 1.5e-06 2e-06 3e-06 1.9e-06 1.95e-06 2.25e-06 2.15e-06 2.2e-06 1.95e-06 1.7e-06 2.15e-06 1.5e-06 1.95e-06
54 2.6e-06 1.2e-06 1.65e-06 2.15e-06 2.1e-06 1.65e-06 1.9e-06 1.65e-06 2.05e-06 1.45e-06 2.55e-06 1.45e-06 2e-06 2.35e-06 2.1e-06 2.25e-06 2.3e-06 1.95e-06 1.95e-06 2.5e-06 1.9e-06 1.85e-06 2.45e-06 1.65e-06 1.9e-06 2e-06 1.95e-06 2.25e-06 2.1e-06 1.95e-06 1.95e-06 1.85e-06 1.75e-06 2e-06 1.85e-06 1.95e-06 2.55e-06 2.15e-06 2.55e-06 1.85e-06 2.05e-06 2.05e-06 2.25e-06 2e-06 1.4e-06 2e-06 1.9e-06 2.2e-06 2.3e-06 1.7e-06 2.45e-06 1.9e-06 2.45e-06 1.9e-06 2.3e-06 1.35e-06 2.25e-06 2.1e-06 1.85e-06 1.95e-06 2.5e-06 2.1e-06 2.5e-06 2.15e-06
55 2.75e-06 1.2e-06 1.85e-06 2.3e-06 2.25e-06 1.7e-06 2.15e-06 1.65e-06 2.05e-06 1.5e-06 2.7e-06 1.45e-06 2.15e-06 2.45e-06 2.1e-06 2.3e-06 2.35e-06 2.1e-06 2.1e-06 2.65e-06 1.9e-06 1.95e-06 2.55e-06 1.75e-06 1.95e-06 2.05e-06 2.05e-06 2.4e-06 2.2e-06 2e-06 1.95e-06 1.95e-06 1.9e-06 2.1e-06 1.85e-06 2.05e-06 2.7e-06 2.25e-06 2.65e-06 1.85e-06 2.1e-06 2.2e-06 2.3e-06 2.1e-06 1.5e-06 2.15e-06 2.1e-06 2.35e-06 2.4e-06 1.65e-06 2.6e-06 1.95e-06 2.55e-06 1.95e-06 1.35e-06 2.4e-06 2.5e-06 2.3e-06 1.95e-06 2.1e-06 2.6e-06 2.15e-06 2.65e-06 2.15e-06
56 1.45e-06 2.35e-06 1.3e-06 3.15e-06 2.15e-06 2.5e-06 2.5e-06 2.35e-06 2.4e-06 2.85e-06 1.55e-06 2.9e-06 2e-06 2.1e-06 1.7e-06 1.65e-06 1.7e-06 2.65e-06 2.2e-06 1.25e-06 3.1e-06 1.55e-06 2.55e-06 1.9e-06 2.7e-06 2.35e-06 2.9e-06 1.8e-06 3.2e-06 2.4e-06 2.1e-06 3e-06 2.4e-06 2.25e-06 3.3e-06 2.25e-06 2.55e-06 2.7e-06 2.1e-06 2.75e-06 1.65e-06 2.1e-06 1.35e-06 2.3e-06 2.25e-06 1.75e-06 2e-06 2.25e-06 2.4e-06 1.85e-06 1.25e-06 2.25e-06 1.85e-06 2.25e-06 2.25e-06 2.5e-06 1.7e-06 2e-06 1.55e-06 2.85e-06 1.75e-06 1.8e-06 1.5e-06 1.75e-06
57 2.15e-06 2.15e-06 1.8e-06 2.45e-06 2e-06 1.85e-06 2.6e-06 2.25e-06 2.25e-06 2.15e-06 2e-06 2.15e-06 2e-06 2.3e-06 1.9e-06 1.95e-06 2e-06 2.3e-06 2e-06 2.25e-06 2.55e-06 2.15e-06 2.35e-06 2.3e-06 2.3e-06 2.1e-06 2.3e-06 2.35e-06 2.35e-06 1.95e-06 2e-06 1.8e-06 2.25e-06 2e-06 2.55e-06 1.95e-06 2.8e-06 2.55e-06 2.45e-06 2.45e-06 1.95e-06 1.95e-06 2.25e-06 2e-06 2e-06 2.3e-06 1.9e-06 2.1e-06 1.8e-06 2.1e-06 2.2e-06 2.15e-06 2.15e-06 2.15e-06 2.1e-06 2.3e-06 2e-06 3.2e-06 2.15e-06 2.45e-06 2.05e-06 2.25e-06 1.95e-06 1.95e-06
58 2e-06 1.8e-06 1.45e-06 2.7e-06 2.05e-06 1.8e-06 2.35e-06 2e-06 1.95e-06 2.4e-06 1.85e-06 2.45e-06 2.05e-06 2.1e-06 1.4e-06 1.65e-06 1.7e-06 2.35e-06 1.85e-06 1.6e-06 2.6e-06 1.1e-06 2.45e-06 1.4e-06 2.35e-06 1.95e-06 2.35e-06 1.6e-06 2.75e-06 1.95e-06 2e-06 2.4e-06 1.9e-06 2.05e-06 2.85e-06 1.85e-06 2.25e-06 2.3e-06 1.75e-06 2.15e-06 1.4e-06 2e-06 1.4e-06 2.1e-06 1.65e-06 1.85e-06 2.15e-06 2.15e-06 2.2e-06 1.35e-06 1.6e-06 2.2e-06 1.7e-06 2.2e-06 1.85e-06 1.95e-06 1.55e-06 2.15e-06 2.1e-06 2.5e-06 1.9e-06 1.6e-06 1.8e-06 1.45e-06
