 slim_762232351 slim_762232334 slim_762232361 slim_762232354 slim_762232339 slim_762232365 slim_762232344 slim_762232374 slim_762232352 slim_762232366 slim_762232375 slim_762232353 slim_762232377 slim_762232345 slim_762232358 slim_762232376 slim_762232343 slim_762232347 slim_762232331 slim_762232349 slim_762232360 slim_762232364 slim_762232341 slim_762232356 slim_762232378 slim_762232346 slim_762232338 slim_762232332 slim_762232340 slim_762232348 slim_762232362 slim_762232372 slim_762232337 slim_762232371 slim_762232379 slim_762232367 slim_762232359 slim_762232342 slim_762232335 slim_762232373 slim_762232350 slim_762232357 slim_762232368 slim_762232369 slim_762232363 slim_762232370 slim_762232333 slim_762232336 slim_762232355
39 1.8e-06 1.65e-06 1.65e-06 1.75e-06 1.7e-06 1.85e-06 2e-06 1.75e-06 1.85e-06 1.75e-06 1.9e-06 1.7e-06 1.7e-06 1.9e-06 1.6e-06 1.9e-06 1.55e-06 1.95e-06 1.9e-06 1.95e-06 1.85e-06 2e-06 2e-06 1.75e-06 1.65e-06 1.95e-06 1.85e-06 1.8e-06 1.8e-06 1.85e-06 1.65e-06 1.75e-06 1.55e-06 1.75e-06 1.8e-06 1.75e-06 1.95e-06 1.55e-06 1.9e-06 2.9e-06 1.75e-06 1.85e-06 1.5e-06 1.85e-06 1.7e-06 1.8e-06 2.2e-06 1.85e-06 1.95e-06
40 1.6e-06 2.2e-06 1.85e-06 1.8e-06 1.45e-06 1.9e-06 2.4e-06 1.35e-06 2e-06 2.25e-06 2.6e-06 2.4e-06 1.95e-06 1.5e-06 9e-07 1.5e-06 2.1e-06 1.95e-06 2e-06 1.95e-06 2.35e-06 2.35e-06 2.1e-06 1.8e-06 2.05e-06 1.9e-06 1.35e-06 2.55e-06 1.65e-06 1.75e-06 1.2e-06 7.5e-07 1.45e-06 2.45e-06 2.2e-06 1.05e-06 1.95e-06 1.75e-06 2.3e-06 1.75e-06 1.5e-06 1.45e-06 1.1e-06 9.5e-07 1.3e-06 2.05e-06 2.25e-06 2.05e-06 2e-06
41 1.85e-06 1.75e-06 1.95e-06 2e-06 1.9e-06 2e-06 1.9e-06 1.8e-06 2.1e-06 1.8e-06 2.35e-06 2.05e-06 1.95e-06 1.45e-06 1.45e-06 1.85e-06 1.65e-06 1.9e-06 2e-06 1.9e-06 2.1e-06 2e-06 1.65e-06 1.9e-06 1.6e-06 1.85e-06 1.65e-06 2.2e-06 1.85e-06 1.65e-06 1.55e-06 1.45e-06 1.45e-06 2.1e-06 1.6e-06 1.75e-06 1.9e-06 1.85e-06 2e-06 1.85e-06 1.45e-06 2.6e-06 1.65e-06 1.65e-06 1.3e-06 2.05e-06 2.35e-06 2.2e-06 2.2e-06
42 1.8e-06 2.5e-06 1.6e-06 1.65e-06 1.15e-06 2.45e-06 2.5e-06 1.1e-06 1.55e-06 2.55e-06 3.15e-06 2.9e-06 2.4e-06 1.7e-06 8e-07 1.95e-06 2.4e-06 2.2e-06 2.45e-06 2.2e-06 2.95e-06 2.75e-06 2.1e-06 1.6e-06 2.35e-06 2.15e-06 1.5e-06 2.75e-06 1.75e-06 1.8e-06 5.5e-07 1.1e-06 1.05e-06 2.95e-06 2.05e-06 5.5e-07 2.2e-06 1.55e-06 2.7e-06 1.5e-06 1.1e-06 1.65e-06 2e-07 1e-06 1.75e-06 2.5e-06 2.8e-06 2.2e-06 1.85e-06
43 1.55e-06 2.4e-06 2e-06 1.8e-06 1.55e-06 2.05e-06 2.45e-06 1.45e-06 2.15e-06 2.5e-06 2.75e-06 2.75e-06 2.2e-06 1.75e-06 1.25e-06 1.75e-06 2.3e-06 1.85e-06 2.3e-06 1.85e-06 2.6e-06 2.45e-06 1.95e-06 2e-06 2.3e-06 1.85e-06 1.15e-06 2.85e-06 1.7e-06 1.6e-06 1e-06 9.5e-07 1.5e-06 2.8e-06 2.2e-06 8.5e-07 1.85e-06 1.9e-06 2.4e-06 1.85e-06 9.5e-07 1.65e-06 1e-06 8e-07 1.75e-06 2.3e-06 2.4e-06 2e-06 2e-06
44 1.7e-06 1.35e-06 1.8e-06 1.85e-06 1.75e-06 1.6e-06 1.8e-06 1.65e-06 1.95e-06 1.4e-06 1.95e-06 1.65e-06 1.55e-06 1.35e-06 1.3e-06 1.45e-06 1.25e-06 1.75e-06 1.6e-06 1.75e-06 1.7e-06 1.6e-06 1.55e-06 1.75e-06 1.2e-06 1.7e-06 1.5e-06 1.8e-06 1.7e-06 1.5e-06 1.65e-06 1.3e-06 1.3e-06 1.7e-06 1.6e-06 1.85e-06 1.75e-06 1.7e-06 1.6e-06 1.7e-06 1.3e-06 1.3e-06 1.75e-06 1.75e-06 1.8e-06 1.65e-06 1.95e-06 2.05e-06 2.05e-06
45 1.75e-06 1.4e-06 2e-06 2e-06 1.9e-06 1.2e-06 2.05e-06 1.8e-06 2.15e-06 1.55e-06 1.4e-06 1.2e-06 1.05e-06 2.15e-06 2.1e-06 1.05e-06 1.3e-06 1.85e-06 1.15e-06 1.85e-06 1.35e-06 1.7e-06 2.25e-06 2e-06 1.35e-06 1.8e-06 2.15e-06 1.3e-06 1.9e-06 1.95e-06 2.45e-06 2.05e-06 2.05e-06 1.15e-06 1.9e-06 2.6e-06 1.85e-06 1.85e-06 1.5e-06 1.8e-06 2.05e-06 2.05e-06 2.5e-06 2.3e-06 1.65e-06 2e-06 1.5e-06 1.85e-06 2.2e-06
46 1.85e-06 1.8e-06 2.35e-06 2e-06 2.15e-06 1.35e-06 2.35e-06 2.1e-06 2.35e-06 1.9e-06 1.4e-06 1.55e-06 1.4e-06 2.45e-06 2.4e-06 1.25e-06 1.7e-06 2.15e-06 1.4e-06 2.15e-06 1.5e-06 1.6e-06 2.45e-06 2.25e-06 1.6e-06 2.05e-06 2.25e-06 1.5e-06 2.05e-06 2.25e-06 2.75e-06 2.25e-06 2.35e-06 1.6e-06 2.15e-06 2.8e-06 2.15e-06 2.25e-06 1.5e-06 2.2e-06 2.25e-06 2.35e-06 2.8e-06 2.4e-06 1.95e-06 1.5e-06 2.4e-06 1.85e-06 2.2e-06
47 1.8e-06 1.8e-06 1.95e-06 1.7e-06 1.95e-06 1.7e-06 2e-06 2.15e-06 2.2e-06 1.85e-06 1.5e-06 1.6e-06 1.75e-06 2.25e-06 2.15e-06 2e-06 1.7e-06 1.95e-06 1.85e-06 1.95e-06 1.55e-06 1.75e-06 2.2e-06 2e-06 1.7e-06 2e-06 2e-06 1.75e-06 1.85e-06 2.05e-06 2.15e-06 2.05e-06 2.05e-06 1.65e-06 2.05e-06 2.2e-06 1.95e-06 1.9e-06 1.6e-06 1.85e-06 2.05e-06 2.2e-06 2.2e-06 2e-06 2.05e-06 1.85e-06 1.85e-06 2.5e-06 1.9e-06
48 2e-06 2.1e-06 2.05e-06 1.8e-06 2e-06 2.05e-06 2.35e-06 2.05e-06 2.15e-06 2.15e-06 2.05e-06 2.1e-06 2.1e-06 2.25e-06 1.95e-06 2.15e-06 2e-06 2.3e-06 2.15e-06 2.3e-06 2.05e-06 2.05e-06 2.25e-06 1.95e-06 1.95e-06 2.25e-06 2e-06 2.1e-06 2e-06 2.2e-06 1.9e-06 2e-06 1.9e-06 2.15e-06 2.1e-06 1.9e-06 2.3e-06 2e-06 1.95e-06 1.95e-06 2e-06 2.2e-06 1.85e-06 2e-06 2.05e-06 2.2e-06 2.2e-06 1.9e-06 3.6e-06
